Original_Color_Name,User_Color_Name,OD,ppm,Unnamed:_4,Vol_taken(ml),Nix_Device,Note,Date_Saved,Illuminant,Observer,Measurement_Mode,L,a,b,L.1,c,h,X,Y,Z,sRGB_R,sRGB_G,sRGB_B
nan,0.0,0.081,0.0020748,nan,,nan,nan,nan,nan,2.0,nan,32.1551574,-1.11691071,0.588729782,32.1551574,1.26257368,152.206039,0.067873592,0.071540909,0.057789297,74.0,76.0,75.0
nan,0.2,0.216,0.1925328,nan,,nan,nan,nan,nan,2.0,nan,29.6835912,-1.69990553,-1.08804707,29.6835912,2.01829761,212.621814,0.057383428,0.061081085,0.052522563,67.0,71.0,72.0
nan,0.4,0.357,0.3914556,nan,,nan,nan,nan,nan,2.0,nan,27.171175,-2.2474364,-2.79281012,27.171175,3.5847955,231.175593,0.04792391,0.051547504,0.047507583,59.0,65.0,68.0
nan,0.6,0.503,0.5974324,nan,,nan,nan,nan,nan,2.0,nan,24.8129179,-2.68448202,-4.26569074,24.8129179,5.04009535,237.816996,0.040101444,0.04355309,0.042880865,52.0,60.0,65.0
nan,0.8,0.654,0.8104632,nan,,nan,nan,nan,nan,2.0,nan,22.7018544,-2.92271118,-5.36690935,22.7018544,6.11113382,241.428175,0.033960042,0.037138243,0.038652384,46.0,56.0,62.0
nan,1.0,0.79,1.002332,nan,,nan,nan,nan,nan,2.0,nan,20.9493683,-2.82413538,-6.03019113,20.9493683,6.65874956,244.904773,0.029533352,0.032318194,0.034982075,42.0,52.0,59.0
nan,1.2,0.943,1.2181844,nan,,nan,nan,nan,nan,2.0,nan,19.3754086,-3.00857244,-6.91018736,19.3754086,7.53672326,246.472549,0.025759801,0.028361581,0.032294413,38.0,49.0,57.0
nan,1.4,1.095,1.432626,nan,,nan,nan,nan,nan,2.0,nan,17.7085731,-3.09893383,-7.80407908,17.7085731,8.39684709,248.342391,0.0221786,0.024538451,0.029550969,33.0,45.0,54.0
nan,1.6,1.18,1.552544,nan,,nan,nan,nan,nan,2.0,nan,17.1757538,-2.87866684,-7.66683847,17.1757538,8.18945266,249.420356,0.021221156,0.023393135,0.028153615,33.0,44.0,53.0
nan,,0.272,0.2715376,nan,5.0,nan,nan,nan,nan,2.0,nan,28.257447,-2.35849691,-1.43513378,28.257447,2.76081811,211.320307,0.051588489,0.055537344,0.04846477,62.0,68.0,69.0
nan,,0.793,1.0065644,nan,5.0,nan,nan,nan,nan,2.0,nan,19.0223752,-3.99489618,-7.56622825,19.0223752,8.55610924,242.166374,0.024484747,0.027520912,0.032362037,34.0,48.0,57.0
nan,,0.489,0.5776812,nan,5.0,nan,nan,nan,nan,2.0,nan,23.8380434,-3.41364314,-4.96087271,23.8380434,6.02189484,235.467617,0.036773454,0.040506063,0.041204288,48.0,58.0,64.0
nan,,0.808,1.0277264,nan,5.0,nan,nan,nan,nan,2.0,nan,19.4570724,-3.71686901,-7.08640367,19.4570724,8.00201426,242.322671,0.025576027,0.028558451,0.032748848,36.0,49.0,57.0
nan,,0.125,0.06415,nan,5.0,nan,nan,nan,nan,2.0,nan,30.8930382,-1.43922025,-0.026606002,30.8930382,1.43946615,181.059072,0.062347206,0.066061913,0.054568788,70.0,73.0,73.0
